Folder,Title,Description,Link,Length,Lecture No.,No. Clicker questions,Book,Homework Assignment,Review Material,Book Length
/Electricity/Capacitors,The Dielectric Constant,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/154/,7:54:00,14,0,5,4,,
/Electricity/Capacitors,Capacitors in Series and Parallel,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/155/,6:16:00,14,0,5,4,,
/Electricity/Capacitors,Parallel Capacitors - Charge and Voltage,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/156/,3:01:00,14,0,5,4,,
/Electricity/Capacitors,Voltage with Capacitance and Resistance,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/157/,8:32:00,15,0,5,4,,
/Electricity/Capacitors,Capacitor or Resistor Network,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/158/,4:03:00,15,2,5,4,,
/Electricity/Capacitors,"Charge, Current, & Voltage Through Series or Parallel",,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/159/,7:35:00,15,0,5,4,,
/Electricity/Capacitors,Deriving Total Capacitance & Resistance,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/160/,4:46:00,15,0,5,4,,
/Electricity/Capacitors,Simplifying Capacitor & Resistor Networks (part a),,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/161/,7:42:00,15,0,5,4,,
/Electricity/Capacitors,Simplifying Capacitor & Resistor Networks (part b),,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/162/,6:15:00,15,0,5,4,,
/Electricity/Capacitors,Simplifying Capacitor & Resistor Networks (part c),,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/163/,5:49:00,15,0,5,4,,
/Electricity/Capacitors,Simplifying Capacitor & Resistor Networks (part d),,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/164/,5:07:00,15,0,5,4,,208:26:00
/Electricity/Capacitors,Concept Comparisons,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/165/,9:06:00,16,4,6,5,,9:06:00
/Electricity/Capacitors,Intro to Kirchoff's Laws,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/166/,7:31:00,16,0,7,6,,
/Electricity/Capacitors,Kirchoff's Law Problem - Loop Rule,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/167/,10:12:00,16,1,7,6,,
/Electricity/Capacitors,Kirchoff's Law Problem - Junction Rule,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/168/,8:35:00,16,0,7,6,,
/Electricity/Capacitors,Kirchoff's Law Problem - Simultaneous Equations,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/169/,4:14:00,16,0,7,6,,
/Electricity/Capacitors,Kirchoff's Law Problem - Pop Goes the Weasel,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/170/,4:29:00,16,0,7,6,,
/Electricity/Capacitors,Kirchoff's Law Problem -  Cramer's Rule,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/171/,4:49:00,16,0,7,6,,
/Electricity/Capacitors,Another DC Circuit Problem,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/172/,6:05:00,17,0,7,6,,
/Electricity/Capacitors,DC Circuit Loop Rule,,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/173/,7:28:00,17,1,7,6,,
